cyl,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
VE (TPS based/Rear Cyl),7,0,2000,0.0,84.50,86.10,+1.600,+1.89
VE (TPS based/Rear Cyl),7,1,2000,2.3,85.50,88.06,+2.565,+3.00
VE (TPS based/Rear Cyl),7,2,2000,5.0,109.00,105.73,-3.270,-3.00
VE (TPS based/Rear Cyl),7,3,2000,7.3,106.86,108.16,+1.301,+1.22
VE (TPS based/Rear Cyl),7,4,2000,10.0,119.00,115.43,-3.570,-3.00
VE (TPS based/Rear Cyl),7,5,2000,15.0,118.50,116.24,-2.264,-1.91
VE (TPS based/Rear Cyl),7,6,2000,20.0,106.77,108.48,+1.709,+1.60
VE (TPS based/Rear Cyl),7,7,2000,25.0,96.50,99.40,+2.895,+3.00
VE (TPS based/Rear Cyl),7,8,2000,30.0,109.45,106.17,-3.284,-3.00
VE (TPS based/Rear Cyl),7,10,2000,60.0,97.12,95.10,-2.021,-2.08
VE (TPS based/Rear Cyl),8,1,2250,2.3,86.00,88.58,+2.580,+3.00
VE (TPS based/Rear Cyl),8,2,2250,5.0,110.90,107.58,-3.327,-3.00
VE (TPS based/Rear Cyl),8,3,2250,7.3,105.75,108.15,+2.402,+2.27
VE (TPS based/Rear Cyl),8,4,2250,10.0,120.50,116.89,-3.615,-3.00
VE (TPS based/Rear Cyl),8,5,2250,15.0,121.00,118.79,-2.212,-1.83
VE (TPS based/Rear Cyl),8,6,2250,20.0,117.50,114.84,-2.660,-2.26
VE (TPS based/Rear Cyl),8,7,2250,25.0,110.50,108.92,-1.580,-1.43
VE (TPS based/Rear Cyl),8,9,2250,40.0,100.65,99.24,-1.411,-1.40
VE (TPS based/Rear Cyl),8,10,2250,60.0,100.10,97.10,-3.003,-3.00
VE (TPS based/Rear Cyl),9,0,2500,0.0,85.00,85.70,+0.700,+0.82
VE (TPS based/Rear Cyl),9,1,2500,2.3,86.00,88.58,+2.580,+3.00
VE (TPS based/Rear Cyl),9,2,2500,5.0,105.00,101.97,-3.031,-2.89
VE (TPS based/Rear Cyl),9,3,2500,7.3,99.00,101.97,+2.970,+3.00
VE (TPS based/Rear Cyl),9,5,2500,15.0,120.16,118.12,-2.050,-1.71
VE (TPS based/Rear Cyl),9,6,2500,20.0,116.00,114.84,-1.158,-1.00
VE (TPS based/Rear Cyl),9,7,2500,25.0,108.00,107.17,-0.827,-0.77
VE (TPS based/Rear Cyl),9,8,2500,30.0,101.50,100.30,-1.197,-1.18
VE (TPS based/Rear Cyl),9,9,2500,40.0,87.50,90.12,+2.625,+3.00
VE (TPS based/Rear Cyl),9,10,2500,60.0,85.50,88.06,+2.565,+3.00
VE (TPS based/Rear Cyl),10,0,2750,0.0,87.00,87.70,+0.700,+0.80
VE (TPS based/Rear Cyl),10,1,2750,2.3,88.50,90.76,+2.263,+2.56
VE (TPS based/Rear Cyl),10,2,2750,5.0,106.00,102.82,-3.180,-3.00
VE (TPS based/Rear Cyl),10,3,2750,7.3,109.36,106.27,-3.088,-2.82
VE (TPS based/Rear Cyl),10,4,2750,10.0,105.56,107.66,+2.101,+1.99
VE (TPS based/Rear Cyl),10,5,2750,15.0,122.29,118.62,-3.669,-3.00
VE (TPS based/Rear Cyl),10,7,2750,25.0,98.51,101.47,+2.955,+3.00
VE (TPS based/Rear Cyl),10,8,2750,30.0,92.25,95.02,+2.767,+3.00
VE (TPS based/Rear Cyl),11,0,3000,0.0,91.00,91.85,+0.850,+0.93
VE (TPS based/Rear Cyl),11,1,3000,2.3,91.50,93.71,+2.206,+2.41
VE (TPS based/Rear Cyl),11,2,3000,5.0,92.70,95.48,+2.781,+3.00
VE (TPS based/Rear Cyl),11,3,3000,7.3,97.31,100.23,+2.919,+3.00
VE (TPS based/Rear Cyl),11,4,3000,10.0,105.69,108.86,+3.171,+3.00
VE (TPS based/Rear Cyl),11,5,3000,15.0,110.09,113.25,+3.161,+2.87
VE (TPS based/Rear Cyl),11,9,3000,40.0,100.00,99.11,-0.885,-0.89
VE (TPS based/Rear Cyl),11,10,3000,60.0,85.67,88.24,+2.570,+3.00
VE (TPS based/Rear Cyl),12,0,3500,0.0,100.50,98.10,-2.400,-2.39
VE (TPS based/Rear Cyl),12,1,3500,2.3,96.00,97.10,+1.099,+1.14
VE (TPS based/Rear Cyl),12,2,3500,5.0,105.60,102.75,-2.845,-2.69
VE (TPS based/Rear Cyl),12,3,3500,7.3,109.88,108.28,-1.597,-1.45
VE (TPS based/Rear Cyl),12,5,3500,15.0,127.50,124.05,-3.452,-2.71
VE (TPS based/Rear Cyl),12,7,3500,25.0,127.42,123.60,-3.823,-3.00
VE (TPS based/Rear Cyl),12,9,3500,40.0,103.25,104.86,+1.610,+1.56
VE (TPS based/Rear Cyl),12,10,3500,60.0,102.24,101.27,-0.970,-0.95
VE (TPS based/Rear Cyl),13,0,4000,0.0,101.50,100.60,-0.900,-0.89
VE (TPS based/Rear Cyl),13,1,4000,2.3,98.50,100.48,+1.982,+2.01
VE (TPS based/Rear Cyl),13,4,4000,10.0,122.51,120.79,-1.721,-1.40
VE (TPS based/Rear Cyl),13,5,4000,15.0,140.25,136.04,-4.208,-3.00
VE (TPS based/Rear Cyl),13,6,4000,20.0,127.50,129.46,+1.959,+1.54
VE (TPS based/Rear Cyl),13,7,4000,25.0,131.77,129.08,-2.689,-2.04
VE (TPS based/Rear Cyl),14,1,4500,2.3,101.00,102.10,+1.101,+1.09
VE (TPS based/Rear Cyl),14,2,4500,5.0,108.34,106.08,-2.260,-2.09
VE (TPS based/Rear Cyl),14,3,4500,7.3,105.64,107.39,+1.750,+1.66
VE (TPS based/Rear Cyl),14,4,4500,10.0,112.40,115.34,+2.942,+2.62
VE (TPS based/Rear Cyl),14,5,4500,15.0,131.45,128.39,-3.057,-2.33
VE (TPS based/Rear Cyl),14,6,4500,20.0,140.25,136.04,-4.208,-3.00
VE (TPS based/Rear Cyl),14,8,4500,30.0,126.10,124.63,-1.474,-1.17
VE (TPS based/Rear Cyl),14,9,4500,40.0,119.00,118.02,-0.983,-0.83
VE (TPS based/Rear Cyl),14,10,4500,60.0,114.81,112.38,-2.422,-2.11
VE (TPS based/Rear Cyl),15,3,5000,7.3,105.00,105.99,+0.992,+0.94
VE (TPS based/Rear Cyl),15,4,5000,10.0,108.00,110.95,+2.954,+2.74
VE (TPS based/Rear Cyl),15,5,5000,15.0,124.28,122.99,-1.290,-1.04
VE (TPS based/Rear Cyl),15,8,5000,30.0,126.00,125.02,-0.977,-0.78
VE (TPS based/Rear Cyl),15,9,5000,40.0,118.00,119.11,+1.107,+0.94
VE (TPS based/Rear Cyl),15,10,5000,60.0,107.00,110.21,+3.210,+3.00
